"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6614","checking the client side delay","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2659","checking the client side delay","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1","checking the dynamic table","firefox","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","6543","checking the button dynamic id","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3268","checking the client side delay","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3306","checking the hidden layers","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2750","checking the button dynamic id","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2662","checking the hidden layers","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","0","checking the dynamic table","chromium","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","2629","should have the correct title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3238","checking the button dynamic id","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","0","checking the dynamic table","webkit","2026-03-12","skipped","2026-03-12","","example.spec.js","",""
"","1942","should have the correct title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5298","should have the correct title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","6549","checking the hidden layers","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
